Goles,Num_Jugadores,Temporada
1,80,2010-2011
2,63,2010-2011
3,25,2010-2011
4,16,2010-2011
5,19,2010-2011
6,11,2010-2011
7,11,2010-2011
8,8,2010-2011
9,4,2010-2011
10,3,2010-2011
11,3,2010-2011
12,2,2010-2011
13,3,2010-2011
14,1,2010-2011
15,1,2010-2011
18,4,2010-2011
20,2,2010-2011
31,1,2010-2011
40,1,2010-2011
1,83,2011-2012
2,52,2011-2012
3,36,2011-2012
4,17,2011-2012
5,17,2011-2012
6,12,2011-2012
7,7,2011-2012
8,2,2011-2012
9,8,2011-2012
10,5,2011-2012
11,3,2011-2012
12,2,2011-2012
14,1,2011-2012
15,2,2011-2012
16,1,2011-2012
17,2,2011-2012
21,1,2011-2012
22,1,2011-2012
24,1,2011-2012
46,1,2011-2012
50,1,2011-2012
1,92,2012-2013
2,47,2012-2013
3,30,2012-2013
4,16,2012-2013
5,13,2012-2013
6,12,2012-2013
7,9,2012-2013
8,10,2012-2013
9,6,2012-2013
10,3,2012-2013
11,3,2012-2013
12,2,2012-2013
13,3,2012-2013
14,4,2012-2013
16,1,2012-2013
18,2,2012-2013
24,1,2012-2013
25,1,2012-2013
28,1,2012-2013
34,1,2012-2013
46,1,2012-2013
1,94,2013-2014
2,47,2013-2014
3,33,2013-2014
4,23,2013-2014
5,13,2013-2014
6,9,2013-2014
7,4,2013-2014
8,7,2013-2014
9,3,2013-2014
10,3,2013-2014
11,2,2013-2014
12,5,2013-2014
13,2,2013-2014
14,3,2013-2014
15,4,2013-2014
16,3,2013-2014
17,1,2013-2014
19,1,2013-2014
27,1,2013-2014
28,1,2013-2014
31,1,2013-2014
1,97,2014-2015
2,43,2014-2015
3,29,2014-2015
4,24,2014-2015
5,15,2014-2015
6,7,2014-2015
7,9,2014-2015
8,5,2014-2015
9,3,2014-2015
11,4,2014-2015
12,3,2014-2015
13,3,2014-2015
14,2,2014-2015
15,1,2014-2015
16,1,2014-2015
17,1,2014-2015
18,1,2014-2015
20,1,2014-2015
22,2,2014-2015
43,1,2014-2015
48,1,2014-2015
1,91,2015-2016
2,55,2015-2016
3,24,2015-2016
4,13,2015-2016
5,15,2015-2016
6,6,2015-2016
7,13,2015-2016
8,3,2015-2016
9,4,2015-2016
10,2,2015-2016
11,2,2015-2016
12,4,2015-2016
13,2,2015-2016
14,1,2015-2016
15,1,2015-2016
16,1,2015-2016
17,1,2015-2016
18,1,2015-2016
