Jugadores,Goles,Temporada
Joselu,1,2010-2011
Marco Pérez,1,2010-2011
Juan Valera,1,2010-2011
Vicente,1,2010-2011
Jeffrén,1,2010-2011
José Nunes,1,2010-2011
Carlos García,1,2010-2011
Daniel Aranzubia,1,2010-2011
Sebastián Eguren,1,2010-2011
Iván Marcano,1,2010-2011
Alberto Botía,1,2010-2011
Juanma Ortiz,1,2010-2011
Javier Portillo,1,2010-2011
Gonzalo Rodríguez,1,2010-2011
Grégory Arnolin,1,2010-2011
Laure,1,2010-2011
Ernesto Galán,1,2010-2011
Ion Ansotegi,1,2010-2011
Juan Rodríguez,1,2010-2011
Weligton,1,2010-2011
Modeste M'Bami,1,2010-2011
Nélson,1,2010-2011
Carlos Marchena,1,2010-2011
Henok Goitom,1,2010-2011
Pepe,1,2010-2011
Kris Stadsgaard,1,2010-2011
Mehmet Topal,1,2010-2011
Marcos Senna,1,2010-2011
Fabián Vargas,1,2010-2011
Jefferson Montero,1,2010-2011
Dani Estrada,1,2010-2011
Olivier Thomert,1,2010-2011
Jeffrey Sarpong,1,2010-2011
Ikechukwu Uche,1,2010-2011
Manuel Arana,1,2010-2011
Álvaro Cejudo,1,2010-2011
Marc Torrejón,1,2010-2011
Nacho Monreal,1,2010-2011
Javi Casquero,1,2010-2011
Filipe Luís,1,2010-2011
Pablo Orbaiz,1,2010-2011
Iván Bolado,1,2010-2011
Javier Calleja,1,2010-2011
Nacho Cases,1,2010-2011
Pablo Álvarez,1,2010-2011
José Manuel Catalá,1,2010-2011
Javier Farinós,1,2010-2011
Sergio Ballesteros,1,2010-2011
Cata Díaz,1,2010-2011
Kiko Femenía,1,2010-2011
Hernán Bernardello,1,2010-2011
Jesús Navas,1,2010-2011
Pedro Munitis,1,2010-2011
Raúl García,1,2010-2011
Martín Cáceres,1,2010-2011
Esteban Granero,1,2010-2011
Mehdi Lacen,1,2010-2011
Jérémy Mathieu,1,2010-2011
Víctor Sánchez,1,2010-2011
Markel Susaeta,1,2010-2011
Sergio Busquets,1,2010-2011
Xisco Muñoz,1,2010-2011
Romaric,1,2010-2011
Tote,1,2010-2011
Marcelo Silva,1,2010-2011
Federico Fazio,1,2010-2011
Martín Demichelis,1,2010-2011
Hedwiges Maduro,1,2010-2011
Maurizio Lanzaro,1,2010-2011
David Navarro,1,2010-2011
Carles Puyol,1,2010-2011
Ibrahim Afellay,1,2010-2011
Ayoze García,1,2010-2011
Edmílson,1,2010-2011
Adrián Sardinero,1,2010-2011
Urko Vera,1,2010-2011
Óscar Serrano,1,2010-2011
Iñigo Pérez,1,2010-2011
Marc Bartra,1,2010-2011
José Manuel Jurado,1,2010-2011
Apoño,2,2010-2011
Diego Colotto,2,2010-2011
Mario Suárez,2,2010-2011
Derek Boateng,2,2010-2011
Tiago Gomes,2,2010-2011
Fernando Soriano,2,2010-2011
Ander Herrera,2,2010-2011
Éver Banega,2,2010-2011
Valdo,2,2010-2011
Dani Alves,2,2010-2011
Juanfran Torres,2,2010-2011
Jaime Gavilán,2,2010-2011
David Zurutuza,2,2010-2011
Masoud Shojaei,2,2010-2011
Mikel San José,2,2010-2011
Diego Ifrán,2,2010-2011
Julien Escudé,2,2010-2011
Dejan Lekic,2,2010-2011
Lolo,2,2010-2011
Jordi Alba,2,2010-2011
Marius Stankevicius,2,2010-2011
Fernando,2,2010-2011
Iván Alonso,2,2010-2011
Aythami Artiles,2,2010-2011
Álvaro Domínguez,2,2010-2011
Paco Sutil,2,2010-2011
Jesús Dátolo,2,2010-2011
Elias,2,2010-2011
Sofiane Feghouli,2,2010-2011
Thiago Alcántara,2,2010-2011
Fernando Cavenaghi,2,2010-2011
Abdoulay Konko,2,2010-2011
Abraham Paz,2,2010-2011
Javi Márquez,2,2010-2011
Asier del Horno,2,2010-2011
Saïd Boutahar,2,2010-2011
Enzo Maresca,2,2010-2011
Alejandro Alfaro,2,2010-2011
Gastón Sangoy,2,2010-2011
Rafa Jordá,2,2010-2011
Koke,2,2010-2011
Castro,2,2010-2011
Sergio,2,2010-2011
Akihiro Ienaga,2,2010-2011
Xisco,2,2010-2011
Joan Capdevila,2,2010-2011
Gonzalo Colsa,2,2010-2011
Miguel Flaño,2,2010-2011
Quincy Owusu-Abeyie,2,2010-2011
Renato,2,2010-2011
Recio,2,2010-2011
Sergio Fernández,2,2010-2011
Andrés Guardado,2,2010-2011
Pablo Pinillos,2,2010-2011
Javier Arizmendi,2,2010-2011
Juan Albín,2,2010-2011
Henrique,2,2010-2011
Alberto Lopo,2,2010-2011
Leonardo Ponzio,2,2010-2011
Diego Rivas,2,2010-2011
Nano Rivas,2,2010-2011
Carlos Gurpegui,2,2010-2011
Miguel Ángel Corona,2,2010-2011
Xavi,3,2010-2011
Dani Parejo,3,2010-2011
Braulio Nóbrega,3,2010-2011
Seydou Keita,3,2010-2011
Jonas,3,2010-2011
Sergio Ramos,3,2010-2011
Sendoa Agirre,3,2010-2011
Riki,3,2010-2011
Víctor Casadesús,3,2010-2011
Jiri Jarosik,3,2010-2011
Juanlu,3,2010-2011
Albert Crusat,3,2010-2011
Marcelo,3,2010-2011
Duda,3,2010-2011
Diego Perotti,3,2010-2011
Walter Pandiani,3,2010-2011
Ariel Nahuelpán,3,2010-2011
Borja Valero,3,2010-2011
Bolaño,3,2010-2011
Iván Ramis,3,2010-2011
Imanol Agirretxe,3,2010-2011
Sergio García,3,2010-2011
Krisztián Vadócz,3,2010-2011
Gerard Piqué,3,2010-2011
Ricardo Carvalho,3,2010-2011
Royston Drenthe,4,2010-2011
Tiago Mendes,4,2010-2011
Álvaro Vázquez,4,2010-2011
Tino Costa,4,2010-2011
Juanmi,4,2010-2011
Javi Martínez,4,2010-2011
Nacho Novo,4,2010-2011
Emilio Nsue,4,2010-2011
Florent Sinama-Pongolle,4,2010-2011
Carlos Aranda,4,2010-2011
Ángel Lafita,4,2010-2011
Simão,4,2010-2011
Javier Camuñas,4,2010-2011
Joaquín,4,2010-2011
Andoni Iraola,4,2010-2011
Eliseu,4,2010-2011
Emmanuel Adebayor,5,2010-2011
Lassad Nouioui,5,2010-2011
Ivan Rakitic,5,2010-2011
Rubén Suárez,5,2010-2011
Marco Ruben,5,2010-2011
Mikel Aranburu,5,2010-2011
David Barral,5,2010-2011
Cani,5,2010-2011
Pablo Hernández,5,2010-2011
Joseba Llorente,5,2010-2011
Michaël Pereira,5,2010-2011
Jonathan de Guzmán,5,2010-2011
Igor Gabilondo,5,2010-2011
Santi Cazorla,5,2010-2011
Joan Verdú,5,2010-2011
Chory Castro,5,2010-2011
Giovani dos Santos,5,2010-2011
Iker Muniain,5,2010-2011
Nicolás Bertolo,5,2010-2011
Kennedy,6,2010-2011
Javad Nekounam,6,2010-2011
Diego Costa,6,2010-2011
Miguel de las Cuevas,6,2010-2011
Bojan Krkic,6,2010-2011
Luis García,6,2010-2011
David López,6,2010-2011
José Antonio Reyes,6,2010-2011
José Callejón,6,2010-2011
Ángel Di María,6,2010-2011
Mesut Özil,6,2010-2011
Leonardo Ulloa,7,2010-2011
Kike Sola,7,2010-2011
Raúl Tamudo,7,2010-2011
Gaizka Toquero,7,2010-2011
Miku,7,2010-2011
Pedro Ríos,7,2010-2011
Kalu Uche,7,2010-2011
Antoine Griezmann,7,2010-2011
Sebastián Fernández,7,2010-2011
Kaká,7,2010-2011
Xabi Prieto,7,2010-2011
Adrián Colunga,8,2010-2011
Cristhian Stuani,8,2010-2011
Nelson Valdez,8,2010-2011
Adrián López,8,2010-2011
Andrés Iniesta,8,2010-2011
Pablo Piatti,8,2010-2011
Diego Forlán,8,2010-2011
Juan Mata,8,2010-2011
Júlio Baptista,9,2010-2011
Markus Rosenberg,9,2010-2011
